Company Name,Sales 5 quarter old,Sales 4 quarter old,Sales 3 quarter old,Sales 2 quarter old,Sales 1 quarter old,Expense 5 quarter old,Expense 4 quarter old,Expense 3 quarter old,Expense 2 quarter old,Expense 1 quarter old,Operating Profit 5 quarter old ,Operating Profit 4 quarter old ,Operating Profit 3 quarter old ,Operating Profit 2 quarter old ,Operating Profit 1 quarter old ,OPM 5 quarter old,OPM 4 quarter old,OPM 3 quarter old,OPM 2 quarter old,OPM 1 quarter old,Other Income 5 quarter old,Other Income 4 quarter old,Other Income 3 quarter old,Other Income 2 quarter old,Other Income 1 quarter old,Interest 5 quarter old,Interest 4 quarter old,Interest 3 quarter old,Interest 2 quarter old,Interest 1 quarter old,Depreciation 5 quarter old,Depreciation 4 quarter old,Depreciation 3 quarter old,Depreciation 2 quarter old,Depreciation 1 quarter old,Profit before tax 5 quarter old,Profit before tax 4 quarter old,Profit before tax 3 quarter old,Profit before tax 2 quarter old,Profit before tax 1 quarter old,Tax 5 quarter old,Tax 4 quarter old,Tax 3 quarter old,Tax 2 quarter old,Tax 1 quarter old,Net Profit 5 quarter old,Net Profit 4 quarter old,Net Profit 3 quarter old,Net Profit 2 quarter old,Net Profit 1 quarter old,EPS 5 quarter old,EPS 4 quarter old,EPS 3 quarter old,EPS 2 quarter old,EPS 1 quarter old,Change in price
Likhitha Infrastructure Ltd,78.00,80.00,81.00,91.00,99.00,60.00,62.00,63.00,71.00,78.00,18.00,18.00,18.00,21.00,21.00,23%,22%,22%,23%,21%,1.00,2.00,2.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,2.00,2.00,18.00,18.00,19.00,20.00,21.00,24%,24%,24%,23%,24%,14.00,14.00,14.00,15.00,16.00,3.46,3.52,3.65,3.93,4.12,11.93
Hi-Tech Pipes Ltd,595.00,516.00,599.00,569.00,702.00,565.00,498.00,575.00,541.00,668.00,30.00,18.00,24.00,28.00,34.00,5%,3%,4%,5%,5%,1.00,1.00,-6.00,1.00,0.00,12.00,10.00,10.00,8.00,8.00,2.00,2.00,2.00,4.00,5.00,16.00,6.00,6.00,17.00,21.00,29%,26%,24%,25%,23%,11.00,4.00,4.00,13.00,16.00,0.91,0.37,0.35,1.06,1.24,-13.75
Rane (Madras) Ltd,505.43,549.27,600.37,583.24,621.56,478.54,520.12,566.88,540.38,566.07,26.89,29.15,33.49,42.86,55.49,5.32%,5.31%,5.58%,7.35%,8.93%,4.82,1.09,0.27,26.86,-0.51,4.50,5.00,6.52,9.32,12.80,21.34,21.88,21.90,24.55,28.27,5.87,3.36,5.34,35.85,13.91,143.27%,197.62%,99.06%,33.86%,31.42%,-2.54,-3.28,0.05,23.71,9.54,-1.56,-2.02,0.03,14.58,5.87,42.66
Pennar Industries Ltd,693.00,700.00,834.00,692.00,668.00,642.00,655.00,788.00,634.00,600.00,51.00,45.00,46.00,58.00,68.00,7%,6%,6%,8%,10%,7.00,11.00,16.00,8.00,2.00,21.00,22.00,25.00,22.00,23.00,15.00,16.00,16.00,16.00,17.00,22.00,19.00,22.00,28.00,31.00,23%,25%,24%,23%,22%,17.00,14.00,16.00,21.00,24.00,1.16,1.00,1.24,1.58,1.73,2.74
Veranda Learning Solutions Ltd,29.00,28.00,37.00,48.00,48.00,42.00,42.00,54.00,69.00,69.00,-13.00,-14.00,-17.00,-21.00,-21.00,-45%,-49%,-45%,-44%,-43%,0.00,0.00,2.00,36.00,0.00,3.00,2.00,1.00,2.00,5.00,6.00,6.00,6.00,15.00,18.00,-22.00,-21.00,-23.00,-3.00,-43.00,5%,6%,6%,125%,10%,-21.00,-20.00,-21.00,1.00,-39.00,-5.09,-3.60,-3.79,0.11,-6.28,66.24
Avadh Sugar & Energy Ltd,759.00,688.00,589.00,675.00,846.00,674.00,624.00,589.00,624.00,706.00,85.00,64.00,0.00,50.00,140.00,11%,9%,0%,7%,17%,2.00,0.00,5.00,2.00,2.00,20.00,22.00,18.00,12.00,18.00,13.00,12.00,12.00,13.00,13.00,54.00,30.00,-25.00,28.00,111.00,6%,35%,35%,36%,29%,51.00,20.00,-16.00,18.00,79.00,25.65,9.84,-8.13,8.86,39.51,17.31
Elpro International Ltd,22.75,23.74,24.22,31.60,43.32,17.15,13.97,12.84,17.81,33.24,5.60,9.77,11.38,13.79,10.08,24.62%,41.15%,46.99%,43.64%,23.27%,1270.74,10.22,12.06,6.38,1.80,5.81,0.69,0.64,1.20,2.06,1.26,1.21,1.22,1.24,1.24,1269.27,18.09,21.58,17.73,8.58,16.82%,11.22%,13.44%,23.75%,103.85%,1055.74,16.06,18.68,13.52,-0.32,62.29,0.95,1.10,0.80,-0.02,1.06
Praveg Ltd,16.69,20.05,17.27,28.33,18.72,9.22,11.40,7.74,11.29,9.08,7.47,8.65,9.53,17.04,9.64,44.76%,43.14%,55.18%,60.15%,51.50%,0.01,0.01,0.01,0.09,0.28,0.12,0.12,0.12,0.21,0.24,0.88,0.97,1.34,1.52,2.26,6.48,7.57,8.08,15.40,7.42,27.78%,25.23%,25.12%,25.26%,30.32%,4.68,5.65,6.04,11.51,5.17,2.53,3.06,3.27,5.50,2.47,13.26
Nahar Spinning Mills Ltd,996.34,861.89,656.87,554.41,723.74,817.01,749.53,595.42,550.66,689.58,179.33,112.36,61.45,3.75,34.16,18.00%,13.04%,9.35%,0.68%,4.72%,2.50,10.74,16.01,6.08,8.24,19.36,8.67,6.99,6.23,8.00,16.78,17.43,17.46,17.97,19.71,145.69,97.00,53.01,-14.37,14.69,26.39%,25.52%,25.00%,23.31%,33.36%,107.23,72.25,39.76,-11.02,9.79,29.70,20.01,11.01,-3.05,2.71,7.22
Chemcon Speciality Chemicals Ltd,89.00,89.00,58.00,76.00,79.00,62.00,56.00,48.00,63.00,65.00,27.00,34.00,10.00,13.00,14.00,31%,38%,17%,18%,18%,3.00,3.00,3.00,4.00,3.00,0.00,0.00,0.00,1.00,0.00,2.00,2.00,2.00,2.00,2.00,28.00,34.00,11.00,15.00,14.00,25%,25%,26%,25%,26%,21.00,25.00,8.00,11.00,10.00,5.81,6.95,2.13,3.10,2.86,6.46
Jaybharat Textiles & Real Estate Ltd,1.54,4.54,9.55,8.50,8.38,1.53,22.79,9.45,8.40,11.06,0.01,-18.25,0.10,0.10,-2.68,0.65%,-401.98%,1.05%,1.18%,-31.98%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.79,4.80,4.79,4.79,4.80,-4.78,-23.05,-4.69,-4.69,-7.48,0.00%,3.86%,0.00%,0.00%,0.00%,-4.78,-22.16,-4.70,-4.70,-7.47,-0.12,-0.58,-0.12,-0.12,-0.20,444.16
Radiant Cash Management Services Ltd,78.00,84.00,88.00,93.00,90.00,61.00,63.00,66.00,70.00,69.00,17.00,21.00,22.00,23.00,20.00,22%,26%,25%,25%,23%,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,15.00,21.00,21.00,22.00,21.00,28%,26%,28%,24%,25%,11.00,15.00,15.00,17.00,16.00,1.09,1.51,1.47,1.68,1.46,-0.11
NGL Fine Chem Ltd,78.21,62.94,64.95,69.80,72.94,68.22,63.47,60.20,62.37,62.31,9.99,-0.53,4.75,7.43,10.63,12.77%,-0.84%,7.31%,10.64%,14.57%,2.28,3.65,4.10,2.95,2.69,0.37,0.50,0.12,0.26,0.32,1.88,1.96,2.02,2.00,1.92,10.02,0.66,6.71,8.12,11.08,21.56%,24.24%,26.08%,25.00%,23.01%,7.86,0.51,4.96,6.09,8.53,12.72,0.83,8.03,9.86,13.81,28.35
Steelcast Ltd,93.00,116.00,121.00,120.00,120.00,75.00,92.00,93.00,89.00,89.00,18.00,24.00,28.00,31.00,31.00,19%,21%,23%,26%,26%,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,4.00,5.00,5.00,4.00,4.00,13.00,19.00,24.00,26.00,26.00,26%,25%,25%,25%,26%,10.00,14.00,18.00,19.00,20.00,4.76,6.99,8.68,9.53,9.65,6.23
Jagsonpal Pharmaceuticals Ltd,51.23,60.60,60.53,60.14,55.45,50.45,53.42,47.62,51.50,50.01,0.78,7.18,12.91,8.64,5.44,1.52%,11.85%,21.33%,14.37%,9.81%,0.37,-3.15,1.12,1.74,2.56,0.06,0.01,0.03,0.18,0.20,0.65,0.19,0.20,0.33,0.48,0.44,3.83,13.80,9.87,7.32,31.82%,23.50%,24.49%,21.07%,23.50%,0.31,2.92,10.41,7.78,5.60,0.12,1.11,3.97,2.97,2.14,24.34
RSWM Ltd,1121.00,1024.00,954.00,855.00,956.00,990.00,914.00,882.00,837.00,908.00,131.00,109.00,72.00,18.00,48.00,12%,11%,8%,2%,5%,14.00,35.00,16.00,10.00,43.00,17.00,19.00,19.00,21.00,16.00,27.00,27.00,35.00,33.00,32.00,101.00,99.00,35.00,-24.00,42.00,-12%,28%,42%,45%,-6%,113.00,71.00,20.00,-13.00,45.00,23.97,15.15,4.27,-2.83,9.49,24.71
B.L.Kashyap & Sons Ltd,324.00,289.00,293.00,253.00,276.00,319.00,257.00,272.00,231.00,253.00,5.00,32.00,21.00,22.00,23.00,2%,11%,7%,9%,8%,43.00,0.00,5.00,9.00,-30.00,16.00,13.00,13.00,12.00,13.00,3.00,3.00,3.00,2.00,2.00,29.00,17.00,11.00,16.00,-23.00,37%,30%,45%,-129%,-41%,18.00,12.00,6.00,37.00,-32.00,0.82,0.52,0.25,1.62,-1.42,43.02
Andhra Cements Ltd,0.00,0.00,0.00,0.00,0.00,11.00,4.00,4.00,5.00,13.00,-11.00,-4.00,-4.00,-5.00,-13.00,,,,,,-1.00,0.00,0.00,0.00,972.00,45.00,41.00,43.00,41.00,-110.00,12.00,12.00,12.00,12.00,12.00,-68.00,-57.00,-58.00,-57.00,1056.00,0%,0%,0%,0%,-6%,-68.00,-57.00,-58.00,-57.00,1122.00,-2.33,-1.93,-1.98,-1.96,121.73,1.48
Faze Three Ltd,156.00,146.00,135.00,133.00,133.00,133.00,123.00,112.00,111.00,110.00,23.00,23.00,24.00,22.00,23.00,15%,16%,18%,17%,17%,1.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,3.00,3.00,4.00,4.00,4.00,21.00,20.00,19.00,19.00,18.00,23%,27%,26%,25%,22%,16.00,15.00,14.00,14.00,14.00,6.54,5.98,5.87,5.86,5.91,32.58
Foods & Inns Ltd,195.00,220.00,245.00,199.00,331.00,185.00,203.00,217.00,181.00,300.00,10.00,17.00,28.00,18.00,32.00,5%,8%,11%,9%,10%,4.00,1.00,1.00,7.00,2.00,6.00,6.00,6.00,7.00,9.00,4.00,4.00,4.00,4.00,3.00,5.00,9.00,19.00,15.00,22.00,36%,21%,26%,24%,31%,3.00,7.00,14.00,11.00,15.00,0.58,1.39,2.73,2.23,2.98,47.29
Ester Industries Ltd,303.00,324.00,302.00,193.00,295.00,253.00,265.00,279.00,194.00,285.00,50.00,59.00,23.00,-1.00,10.00,17%,18%,8%,-1%,3%,11.00,10.00,123.00,8.00,-1.00,9.00,7.00,8.00,8.00,14.00,10.00,10.00,10.00,10.00,14.00,44.00,53.00,129.00,-12.00,-20.00,25%,22%,4%,22%,10%,33.00,42.00,124.00,-9.00,-18.00,3.95,4.98,14.85,-1.11,-2.13,26.52
Spacenet Enterprises India Ltd,23.06,19.45,57.69,39.10,25.88,22.32,19.30,57.23,38.24,24.54,0.74,0.15,0.46,0.86,1.34,3.21%,0.77%,0.80%,2.20%,5.18%,0.38,0.27,0.09,0.02,0.03,0.01,0.01,0.02,0.13,0.16,0.04,0.04,0.05,0.05,0.05,1.07,0.37,0.48,0.70,1.16,11.21%,0.00%,-22.92%,0.00%,0.00%,0.95,0.37,0.59,0.70,1.15,0.02,0.01,0.01,0.01,0.02,-3.31
Indian Hume Pipe Company Ltd,392.00,360.00,324.00,405.00,454.00,346.00,331.00,297.00,368.00,412.00,45.00,29.00,27.00,37.00,42.00,12%,8%,8%,9%,9%,2.00,16.00,3.00,2.00,2.00,16.00,14.00,16.00,18.00,20.00,4.00,4.00,4.00,4.00,4.00,27.00,27.00,9.00,17.00,20.00,26%,24%,28%,24%,20%,20.00,21.00,6.00,13.00,16.00,4.08,4.27,1.31,2.61,3.30,57.44
Omaxe Ltd,168.00,121.00,119.00,244.00,289.00,162.00,145.00,187.00,346.00,399.00,6.00,-23.00,-68.00,-102.00,-109.00,4%,-19%,-57%,-42%,-38%,5.00,3.00,3.00,10.00,9.00,34.00,29.00,31.00,27.00,26.00,8.00,17.00,16.00,16.00,16.00,-31.00,-66.00,-112.00,-136.00,-143.00,-20%,24%,22%,20%,27%,-37.00,-50.00,-87.00,-109.00,-104.00,-2.15,-2.68,-4.78,-5.79,-5.77,72.20
GIC Housing Finance Ltd,288.00,274.00,279.00,281.00,281.00,166.00,170.00,176.00,178.00,178.00,48.00,53.00,30.00,16.00,28.00,75,51,73,87,75,0.26,0.19,0.26,0.31,0.27,2.00,2.00,2.00,3.00,6.00,3.00,2.00,2.00,2.00,3.00,73.00,51.00,73.00,88.00,78.00,33%,23%,23%,26%,33%,49.00,39.00,56.00,65.00,52.00,9.10,7.28,10.46,12.15,9.71,9.45
Dredging Corporation of India Ltd,289.00,218.00,239.00,371.00,337.00,252.00,192.00,177.00,310.00,310.00,37.00,25.00,62.00,61.00,27.00,13%,12%,26%,16%,8%,0.00,1.00,1.00,1.00,1.00,3.00,4.00,6.00,13.00,6.00,33.00,38.00,28.00,35.00,35.00,1.00,-15.00,29.00,14.00,-14.00,17%,-2%,1%,3%,-3%,1.00,-16.00,29.00,14.00,-14.00,0.38,-5.61,10.22,4.94,-5.06,6.16
Bodal Chemicals Ltd,597.30,458.95,395.73,320.73,389.58,543.50,409.12,363.67,296.18,362.67,53.80,49.83,32.06,24.55,26.91,9.01%,10.86%,8.10%,7.65%,6.91%,2.59,3.78,1.72,2.22,3.89,6.45,12.08,7.26,10.11,11.58,11.94,12.33,12.19,13.92,14.65,38.00,29.20,14.33,2.74,4.57,24.08%,22.84%,28.33%,11.31%,38.51%,28.84,22.53,10.27,2.43,2.81,2.52,1.95,0.84,0.19,0.22,24.31
Sastasundar Ventures Ltd,143.00,157.00,192.00,254.00,281.00,156.00,182.00,222.00,282.00,315.00,-13.00,-25.00,-30.00,-27.00,-34.00,-9%,-16%,-16%,-11%,-12%,1172.00,-7.00,5.00,-2.00,4.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,2.00,2.00,1157.00,-34.00,-26.00,-32.00,-33.00,12%,11%,4%,75%,0%,1024.00,-30.00,-25.00,-8.00,-32.00,232.31,-7.01,-6.24,-1.55,-7.36,96.81
Ultramarine & Pigments Ltd,130.88,130.52,150.83,141.48,118.58,110.56,104.60,124.79,114.20,102.54,20.32,25.92,26.04,27.28,16.04,15.53%,19.86%,17.26%,19.28%,13.53%,0.96,1.44,7.20,-1.01,1.56,0.75,0.78,0.70,0.70,0.83,3.13,3.33,3.39,3.40,3.80,17.40,23.25,29.15,22.17,12.97,26.67%,25.85%,20.86%,25.44%,25.75%,12.76,17.24,23.07,16.53,9.63,4.37,5.90,7.90,5.66,3.30,-3.16
JITF Infra Logistics Ltd,404.53,250.08,270.45,435.09,634.66,354.13,201.61,215.09,371.90,542.25,50.40,48.47,55.36,63.19,92.41,12.46%,19.38%,20.47%,14.52%,14.56%,1.84,2.07,2.42,1.89,7.55,68.00,74.73,75.53,78.00,84.29,11.17,13.24,13.28,13.20,18.27,-26.93,-37.43,-31.03,-26.12,-2.60,-8.73%,3.85%,-6.70%,-9.23%,-265.00%,-29.28,-36.00,-33.11,-28.54,-9.48,-12.89,-15.16,-13.50,-13.20,-7.81,56.89
Shiva Cement Ltd,0.00,0.00,0.00,0.00,0.00,15.00,15.00,11.00,2.00,12.00,-15.00,-15.00,-11.00,-2.00,-12.00,,,,,,3.00,1.00,0.00,1.00,1.00,2.00,3.00,3.00,3.00,4.00,1.00,2.00,1.00,30.00,27.00,-15.00,-18.00,-15.00,-33.00,-42.00,26%,26%,27%,26%,25%,-11.00,-13.00,-11.00,-25.00,-31.00,-0.58,-0.69,-0.57,-1.27,-1.60,12.25
Vinyl Chemicals (I) Ltd,120.50,310.75,324.17,270.66,106.93,104.62,301.06,311.30,260.62,97.41,15.88,9.69,12.87,10.04,9.52,13.18%,3.12%,3.97%,3.71%,8.90%,3.55,5.00,0.70,0.16,0.99,0.03,0.09,0.15,0.17,0.94,0.00,0.02,0.03,0.02,0.03,19.40,14.58,13.39,10.01,9.54,25.21%,25.10%,24.94%,26.37%,23.48%,14.51,10.92,10.05,7.37,7.30,7.91,5.96,5.48,4.02,3.98,47.24
Chamanlal Setia Exports Ltd,310.00,410.00,266.00,354.00,357.00,275.00,377.00,240.00,303.00,309.00,34.00,33.00,26.00,51.00,49.00,11%,8%,10%,15%,14%,0.00,0.00,3.00,2.00,7.00,2.00,1.00,1.00,2.00,3.00,2.00,1.00,1.00,1.00,2.00,30.00,31.00,26.00,50.00,50.00,25%,27%,23%,25%,25%,22.00,22.00,20.00,37.00,38.00,4.35,4.30,3.90,7.24,7.30,1.63
India Motor Parts & Accessories Ltd,172.00,184.00,171.00,186.00,166.00,152.00,168.00,158.00,171.00,148.00,20.00,16.00,13.00,15.00,18.00,11%,9%,8%,8%,11%,6.00,1.00,11.00,3.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,17.00,25.00,18.00,33.00,20%,14%,18%,27%,20%,20.00,14.00,20.00,13.00,26.00,16.24,11.46,16.16,10.56,20.85,6.81
NCL Industries Ltd,445.41,390.67,364.97,419.13,434.88,405.28,358.06,341.39,365.78,396.61,40.13,32.61,23.58,53.35,38.27,9.01%,8.35%,6.46%,12.73%,8.80%,4.55,3.77,6.00,3.18,7.04,5.96,6.49,6.78,7.07,5.86,11.70,11.04,12.11,12.77,13.25,27.02,18.85,10.69,36.69,26.20,42.23%,33.53%,72.12%,45.05%,62.56%,15.61,12.53,2.98,20.16,9.82,3.45,2.77,0.66,4.46,2.17,19.20
Mold-Tek Technologies Ltd,29.00,29.00,35.00,41.00,43.00,22.00,24.00,25.00,28.00,29.00,7.00,5.00,10.00,13.00,14.00,24%,17%,29%,32%,33%,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,6.00,4.00,9.00,12.00,13.00,25%,26%,25%,25%,24%,5.00,3.00,7.00,9.00,10.00,1.67,1.10,2.43,3.26,3.58,34.52
Vimta Labs Ltd,74.00,79.00,79.00,76.00,81.00,51.00,55.00,54.00,55.00,57.00,23.00,24.00,25.00,21.00,24.00,31%,30%,32%,27%,29%,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,7.00,7.00,8.00,8.00,8.00,16.00,17.00,18.00,14.00,16.00,27%,27%,26%,27%,23%,12.00,12.00,13.00,10.00,12.00,5.37,5.44,5.91,4.50,5.54,39.58
Mangalam Cement Ltd,452.00,514.00,399.00,429.00,459.00,396.00,440.00,392.00,408.00,414.00,55.00,74.00,7.00,21.00,45.00,12%,14%,2%,5%,10%,8.00,4.00,-10.00,15.00,6.00,17.00,18.00,19.00,15.00,15.00,16.00,17.00,17.00,18.00,17.00,30.00,44.00,-39.00,3.00,20.00,42%,36%,31%,83%,22%,17.00,28.00,-27.00,1.00,16.00,6.36,10.22,-9.86,0.19,5.68,30.89
Royal Orchid Hotels Ltd,40.00,60.00,58.00,72.00,73.00,33.00,39.00,43.00,49.00,51.00,7.00,21.00,15.00,24.00,22.00,17%,35%,26%,33%,30%,34.00,3.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,5.00,4.00,4.00,5.00,5.00,33.00,16.00,12.00,19.00,16.00,3%,26%,26%,27%,26%,32.00,12.00,9.00,15.00,13.00,11.59,4.03,3.22,5.27,4.62,30.37
Century Enka Ltd,572.00,568.00,563.00,468.00,473.00,504.00,507.00,526.00,448.00,450.00,68.00,61.00,38.00,21.00,23.00,12%,11%,7%,4%,5%,5.00,3.00,5.00,4.00,7.00,0.00,0.00,0.00,0.00,1.00,10.00,10.00,9.00,10.00,12.00,62.00,54.00,33.00,14.00,17.00,20%,25%,22%,29%,14%,50.00,40.00,26.00,10.00,15.00,22.72,18.44,11.74,4.56,6.64,17.54
Agarwal Industrial Corporation Ltd,651.00,581.00,223.00,552.00,660.00,615.00,547.00,201.00,514.00,617.00,36.00,34.00,21.00,38.00,43.00,6%,6%,10%,7%,6%,2.00,2.00,4.00,2.00,1.00,3.00,3.00,2.00,3.00,4.00,5.00,5.00,6.00,6.00,6.00,29.00,28.00,18.00,31.00,33.00,17%,16%,13%,18%,15%,24.00,23.00,15.00,25.00,28.00,17.97,16.23,10.57,16.85,18.92,2.51
Vascon Engineers Ltd,218.00,201.00,217.00,254.00,327.00,200.00,185.00,206.00,233.00,278.00,18.00,16.00,11.00,21.00,49.00,8%,8%,5%,8%,15%,5.00,2.00,18.00,2.00,8.00,6.00,4.00,3.00,2.00,3.00,3.00,2.00,3.00,3.00,3.00,14.00,12.00,23.00,17.00,52.00,24%,6%,0%,6%,4%,11.00,11.00,23.00,16.00,50.00,0.50,0.50,1.04,0.75,2.28,53.19
Orient Paper & Industries Ltd,191.00,211.00,220.00,253.00,258.00,186.00,201.00,205.00,184.00,190.00,5.00,10.00,15.00,69.00,68.00,2%,5%,7%,27%,26%,3.00,2.00,6.00,1.00,19.00,1.00,1.00,2.00,2.00,6.00,8.00,8.00,8.00,8.00,10.00,-1.00,3.00,12.00,61.00,72.00,-120%,35%,35%,35%,30%,-2.00,2.00,8.00,40.00,50.00,-0.10,0.11,0.36,1.86,2.35,11.48
Ramco Systems Ltd,124.00,120.00,119.00,128.00,126.00,134.00,151.00,159.00,156.00,162.00,-10.00,-31.00,-40.00,-29.00,-36.00,-8%,-26%,-34%,-22%,-28%,1.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,3.00,3.00,19.00,19.00,20.00,21.00,20.00,-29.00,-50.00,-62.00,-51.00,-57.00,9%,-1%,2%,2%,20%,-26.00,-51.00,-60.00,-50.00,-45.00,-8.56,-16.45,-19.57,-16.31,-12.94,1.86
Vardhman Holdings Ltd,6.00,5.00,2.00,4.00,-5.00,1.00,1.00,1.00,1.00,2.00,5.00,3.00,1.00,4.00,-7.00,86%,74%,68%,83%,,91.00,91.00,57.00,30.00,46.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.00,94.00,59.00,33.00,39.00,2%,1%,-3%,0%,-6%,94.00,94.00,61.00,33.00,41.00,293.72,294.60,189.60,103.71,127.87,6.66
HLV Ltd,25.00,40.00,35.00,45.00,52.00,25.00,35.00,36.00,40.00,45.00,0.00,5.00,-1.00,5.00,7.00,-1%,12%,-3%,11%,13%,-9.00,-3.00,1.00,3.00,8.00,0.00,1.00,1.00,1.00,1.00,3.00,3.00,3.00,3.00,3.00,-13.00,-3.00,-4.00,4.00,11.00,0%,0%,0%,25%,0%,-13.00,-3.00,-4.00,3.00,11.00,-0.20,-0.04,-0.05,0.05,0.16,30.26
Balmer Lawrie Investment Ltd,577.00,649.00,553.00,516.00,610.00,518.00,587.00,513.00,464.00,556.00,58.00,62.00,40.00,52.00,55.00,10%,10%,7%,10%,9%,33.00,24.00,24.00,15.00,35.00,3.00,5.00,4.00,5.00,5.00,14.00,14.00,14.00,14.00,14.00,74.00,68.00,46.00,47.00,70.00,36%,17%,24%,22%,38%,47.00,56.00,35.00,37.00,44.00,13.50,16.01,10.24,11.00,12.73,14.31
India Nippon Electricals Ltd,149.00,156.00,186.00,156.00,158.00,137.00,146.00,167.00,147.00,143.00,12.00,10.00,19.00,10.00,15.00,8%,6%,10%,6%,9%,15.00,3.00,5.00,9.00,5.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,4.00,4.00,4.00,23.00,9.00,21.00,15.00,16.00,17%,58%,19%,9%,11%,19.00,4.00,17.00,14.00,14.00,8.49,1.64,7.40,5.99,6.28,15.63
Ambika Cotton Mills Ltd,260.00,254.00,219.00,188.00,186.00,192.00,196.00,176.00,146.00,155.00,69.00,58.00,43.00,42.00,31.00,26%,23%,20%,22%,17%,2.00,3.00,3.00,4.00,4.00,0.00,1.00,1.00,2.00,3.00,7.00,7.00,7.00,7.00,7.00,63.00,53.00,38.00,37.00,25.00,26%,27%,26%,27%,27%,47.00,39.00,28.00,27.00,18.00,81.57,67.90,49.05,46.85,31.67,8.97
Zota Health Care Ltd,31.34,29.19,38.95,34.97,36.85,31.27,27.74,34.12,34.95,35.82,0.07,1.45,4.83,0.02,1.03,0.22%,4.97%,12.40%,0.06%,2.80%,0.81,0.47,0.84,0.62,0.56,0.29,0.38,0.66,0.71,0.81,1.58,1.91,2.87,3.30,3.88,-0.99,-0.37,2.14,-3.37,-3.10,-1.01%,-118.92%,57.94%,4.15%,14.84%,-1.01,-0.82,0.91,-3.23,-2.63,-0.40,-0.33,0.36,-1.28,-1.05,17.58
Saint-Gobain Sekurit India Ltd,45.28,44.65,47.56,46.74,47.38,36.10,35.84,39.55,37.70,37.71,9.18,8.81,8.01,9.04,9.67,20.27%,19.73%,16.84%,19.34%,20.41%,0.47,1.42,1.78,2.07,2.38,0.25,0.07,0.08,0.13,0.12,0.95,1.00,1.04,0.93,0.99,8.45,9.16,8.67,10.05,10.94,25.68%,25.00%,25.49%,26.47%,25.50%,6.28,6.88,6.45,7.39,8.15,0.69,0.76,0.71,0.81,0.89,14.79
National Peroxide Ltd,50.00,76.00,97.00,115.00,88.00,52.00,72.00,90.00,88.00,70.00,-2.00,4.00,7.00,27.00,18.00,-4%,5%,7%,24%,21%,9.00,18.00,3.00,3.00,1.00,2.00,2.00,2.00,2.00,1.00,4.00,4.00,5.00,6.00,5.00,0.00,15.00,4.00,23.00,14.00,111%,26%,20%,25%,25%,0.00,11.00,3.00,17.00,11.00,-0.09,19.85,5.39,30.28,18.46,15.24
Indo Amines Ltd,214.00,258.00,241.00,211.00,235.00,202.00,239.00,225.00,190.00,204.00,12.00,20.00,16.00,21.00,31.00,6%,8%,7%,10%,13%,1.00,1.00,1.00,1.00,2.00,4.00,3.00,4.00,5.00,5.00,4.00,4.00,4.00,5.00,4.00,6.00,13.00,8.00,12.00,23.00,58%,34%,41%,15%,27%,2.00,8.00,5.00,10.00,17.00,0.33,1.19,0.69,1.47,2.42,49.88
Bajaj Healthcare Ltd,175.71,172.07,200.89,141.89,158.44,150.50,146.23,167.57,113.26,139.38,25.21,25.84,33.32,28.63,19.06,14.35%,15.02%,16.59%,20.18%,12.03%,0.45,0.67,0.13,0.07,0.72,4.49,3.82,4.95,6.74,7.36,4.24,6.53,6.48,6.92,7.42,16.93,16.16,22.02,15.04,5.00,-3.25%,25.62%,25.70%,26.53%,28.20%,17.47,12.02,16.36,11.05,3.59,6.33,4.36,5.93,4.00,1.30,-10.01
Kopran Ltd,142.83,125.62,116.97,159.52,148.88,116.83,112.46,106.83,145.45,136.72,26.00,13.16,10.14,14.07,12.16,18.20%,10.48%,8.67%,8.82%,8.17%,2.06,0.65,0.44,0.47,3.78,1.29,0.79,1.28,2.24,1.78,2.69,3.05,3.25,3.16,3.24,24.08,9.97,6.05,9.14,10.92,27.28%,23.77%,23.14%,23.96%,26.37%,17.51,7.60,4.65,6.95,8.04,3.63,1.58,0.96,1.44,1.67,72.01
