Company Name,Sales 5 quarter old,Sales 4 quarter old,Sales 3 quarter old,Sales 2 quarter old,Sales 1 quarter old,Expense 5 quarter old,Expense 4 quarter old,Expense 3 quarter old,Expense 2 quarter old,Expense 1 quarter old,Operating Profit 5 quarter old ,Operating Profit 4 quarter old ,Operating Profit 3 quarter old ,Operating Profit 2 quarter old ,Operating Profit 1 quarter old ,OPM 5 quarter old,OPM 4 quarter old,OPM 3 quarter old,OPM 2 quarter old,OPM 1 quarter old,Other Income 5 quarter old,Other Income 4 quarter old,Other Income 3 quarter old,Other Income 2 quarter old,Other Income 1 quarter old,Interest 5 quarter old,Interest 4 quarter old,Interest 3 quarter old,Interest 2 quarter old,Interest 1 quarter old,Depreciation 5 quarter old,Depreciation 4 quarter old,Depreciation 3 quarter old,Depreciation 2 quarter old,Depreciation 1 quarter old,Profit before tax 5 quarter old,Profit before tax 4 quarter old,Profit before tax 3 quarter old,Profit before tax 2 quarter old,Profit before tax 1 quarter old,Tax 5 quarter old,Tax 4 quarter old,Tax 3 quarter old,Tax 2 quarter old,Tax 1 quarter old,Net Profit 5 quarter old,Net Profit 4 quarter old,Net Profit 3 quarter old,Net Profit 2 quarter old,Net Profit 1 quarter old,EPS 5 quarter old,EPS 4 quarter old,EPS 3 quarter old,EPS 2 quarter old,EPS 1 quarter old,Change in price
Kriti Nutrients Ltd,199.69,193.76,200.27,221.67,181.18,193.47,190.06,192.83,210.85,171.94,6.22,3.70,7.44,10.82,9.24,3.11%,1.91%,3.71%,4.88%,5.10%,0.64,1.15,1.79,0.97,0.53,0.74,0.74,0.95,0.81,1.03,0.98,1.03,1.07,1.08,0.99,5.14,3.08,7.21,9.90,7.75,31.71%,32.14%,26.07%,21.62%,27.35%,3.50,2.08,5.33,7.75,5.63,0.70,0.42,1.06,1.55,1.12,24.27
Menon Pistons Ltd,51.65,53.06,56.40,52.14,46.61,44.49,44.73,47.93,43.98,39.72,7.16,8.33,8.47,8.16,6.89,13.86%,15.70%,15.02%,15.65%,14.78%,0.44,0.30,0.60,0.57,5.79,0.51,0.63,0.84,0.73,0.55,1.50,1.36,1.56,1.49,1.47,5.59,6.64,6.67,6.51,10.66,30.59%,25.15%,25.04%,25.19%,17.26%,3.87,4.97,4.99,4.87,8.81,0.76,0.97,0.98,0.95,1.73,33.67
Rudrabhishek Enterprises Ltd,24.55,16.79,17.45,22.99,31.73,24.39,12.46,12.78,16.87,31.15,0.16,4.33,4.67,6.12,0.58,0.65%,25.79%,26.76%,26.62%,1.83%,2.72,0.24,0.20,0.19,2.75,0.17,0.26,0.34,0.32,0.46,0.45,0.27,0.48,0.37,0.41,2.26,4.04,4.05,5.62,2.46,-119.47%,22.52%,29.14%,25.80%,24.80%,4.96,3.12,2.86,4.18,1.85,2.86,1.80,1.65,2.41,1.07,24.52
Dai-ichi Karkaria Ltd,31.27,38.28,54.32,48.88,42.46,36.03,39.43,48.98,42.25,37.38,-4.76,-1.15,5.34,6.63,5.08,-15.22%,-3.00%,9.83%,13.56%,11.96%,4.91,1.27,9.28,4.85,1.32,0.23,0.67,0.68,0.63,1.06,1.74,1.71,1.73,1.85,2.16,-1.82,-2.26,12.21,9.00,3.18,0.00%,0.00%,0.00%,0.00%,114.47%,-1.38,-1.93,12.28,9.18,0.57,-1.85,-2.59,16.48,12.32,0.76,7.52
Mahindra EPC Irrigation Ltd,66.48,47.32,26.30,65.79,70.96,65.76,54.10,35.45,66.21,68.10,0.72,-6.78,-9.15,-0.42,2.86,1.08%,-14.33%,-34.79%,-0.64%,4.03%,0.31,0.10,0.04,0.90,1.72,0.62,0.73,0.59,0.44,0.46,0.78,0.77,0.76,0.76,0.79,-0.37,-8.18,-10.46,-0.72,3.33,137.84%,21.64%,21.03%,47.22%,17.72%,0.14,-6.41,-8.26,-0.38,2.74,0.05,-2.30,-2.96,-0.14,0.98,6.74
Systematix Corporate Services Ltd,20.63,25.21,11.87,21.77,15.43,16.26,19.25,20.66,14.63,16.05,4.37,5.96,-8.79,7.14,-0.62,21.18%,23.64%,-74.05%,32.80%,-4.02%,0.29,4.53,0.50,0.36,0.62,1.07,1.04,0.91,0.61,0.77,0.16,0.15,0.15,0.15,0.15,3.43,9.30,-9.35,6.74,-0.92,15.74%,13.98%,12.09%,12.76%,38.04%,2.90,8.00,-8.23,5.87,-0.56,2.23,6.16,-6.34,4.52,-0.43,1.73
Pasupati Acrylon Ltd,273.00,251.00,207.00,192.00,178.00,267.00,235.00,200.00,178.00,166.00,5.00,15.00,7.00,15.00,13.00,2%,6%,3%,8%,7%,3.00,2.00,1.00,2.00,4.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,6.00,15.00,6.00,14.00,14.00,22%,26%,25%,26%,26%,5.00,11.00,4.00,11.00,10.00,0.51,1.23,0.48,1.18,1.14,16.13
Khoday India Ltd,38.73,21.70,33.04,41.88,41.64,38.85,24.86,34.27,39.92,40.38,-0.12,-3.16,-1.23,1.96,1.26,-0.31%,-14.56%,-3.72%,4.68%,3.03%,2.15,0.38,0.50,0.49,0.85,1.31,1.83,1.27,1.48,1.60,1.69,1.39,1.39,1.42,1.41,-0.97,-6.00,-3.39,-0.45,-0.90,-1.03%,0.00%,0.00%,0.00%,0.00%,-0.99,-6.00,-3.40,-0.45,-0.90,-0.29,-1.78,-1.01,-0.13,-0.27,7.51
Vadilal Enterprises Ltd,161.32,415.81,214.16,110.36,189.76,166.06,393.01,215.90,113.38,198.84,-4.74,22.80,-1.74,-3.02,-9.08,-2.94%,5.48%,-0.81%,-2.74%,-4.78%,2.17,1.14,1.18,8.25,1.47,0.34,0.35,0.30,0.31,0.37,2.78,2.75,2.76,2.80,2.75,-5.69,20.84,-3.62,2.12,-10.73,24.43%,25.05%,24.86%,25.00%,22.46%,-4.30,15.61,-2.73,1.58,-8.32,-49.84,180.94,-31.64,18.31,-96.44,-10.13
Tierra Agrotech Ltd,13.00,39.00,9.00,4.00,8.00,16.00,33.00,13.00,14.00,27.00,-2.00,6.00,-5.00,-10.00,-18.00,-18%,16%,-53%,-241%,-221%,0.00,0.00,0.00,0.00,0.00,2.00,3.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,-5.00,4.00,-8.00,-13.00,-21.00,58%,1%,19%,25%,24%,-2.00,4.00,-6.00,-10.00,-16.00,-0.83,1.45,-2.50,-3.84,-6.32,-37.24
